EMPLOYEE LOGIN CREDENTIALS
===========================
Default Password for all: welcome123

USERNAME             | NAME                           | POSITION            
---------------------------------------------------------------------------
andrew               | Andrew Roberts                 | Controller          
anna                 | Anna Jones                     | Accountant          
anthony              | Anthony Hill                   | Associate           
ashley               | Ashley Lopez                   | Associate           
barbara              | Barbara Robinson               | Coordinator         
betty                | Betty Perez                    | Manager             
brian                | Brian Edwards                  | Controller          
carol                | Carol Collins                  | Executive           
charles              | Charles Walker                 | Specialist          
chris                | Chris Wilson                   | Coordinator         
christopher          | Christopher Allen              | Controller          
john                 | Daniel Hernandez               | Associate           
daniel               | Daniel Hernandez               | Associate           
david                | David Brown                    | Specialist          
deborah              | Deborah Cox                    | Lead                
donald               | Donald Baker                   | Controller          
donna                | Donna Evans                    | Manager             
dorothy              | Dorothy Scott                  | Manager             
edward               | Edward Stewart                 | Controller          
elizabeth            | Elizabeth Rodriguez            | Lead                
emily                | Emily Davis                    | Manager             
eric                 | Eric Torres                    | Lead                
gary                 | Gary Richardson                | Manager             
helen                | Helen Turner                   | Accountant          
james                | James Taylor                   | Manager             
jane                 | Jane Smith                     | Software Engineer   
jason                | Jason Morgan                   | Executive           
jeffrey              | Jeffrey Murphy                 | Analyst             
jessica              | Jessica Hall                   | Accountant          
jessica1             | Jessica Ward                   | Manager             
johnathan            | Johnathan Doe                  | Technical Lead      
joseph               | Joseph Lewis                   | Manager             
joshua               | Joshua Phillips                | Manager             
karen                | Karen Carter                   | Manager             
kevin                | Kevin Parker                   | Specialist          
kimberly             | Kimberly Cooper                | Controller          
laura                | Laura Bell                     | Executive           
linda                | Linda Garcia                   | Coordinator         
lisa                 | Lisa Adams                     | Coordinator         
margaret             | Margaret Young                 | Manager             
mark                 | Mark Green                     | Coordinator         
matthew              | Matthew Wright                 | Manager             
michael              | Michael Johnson                | Controller          
michelle             | Michelle Cook                  | Manager             
nancy                | Nancy Gonzalez                 | Lead                
nicholas             | Nicholas Howard                | Senior Engineer     
paul                 | Paul Mitchell                  | Accountant          
robert               | Robert Martinez                | Accountant          
ronald               | Ronald Morris                  | Coordinator         
ruth                 | Ruth Sanchez                   | Manager             
ryan                 | Ryan Rivera                    | Manager             
sandra1              | Sandra Campbell                | Manager             
sandra               | Sandra King                    | Manager             
sarah1               | Sarah Bailey                   | Accountant          
sarah                | Sarah Miller                   | Manager             
sharon               | Sharon Rogers                  | Specialist          
shirley              | Shirley Peterson               | Associate           
steven               | Steven Nelson                  | Specialist          
susan                | Susan Lee                      | Software Engineer   
timothy              | Timothy Reed                   | Lead                
william              | William Clark                  | Software Engineer   
